mix_id,audio_url,audio_length,audio_size,audio_sr,audio_source,num_tracks,all_ided,num_ided_tracks,dj_id
v4k9upt,https://soundcloud.com/sagan/mix-marathon-slamfm-11082017,3086.6639909297,47.0998077393,44100,soundcloud,16,True,16,sagan
1t0n9g89,https://soundcloud.com/lucasandsteve/lucas-steve-skyline-sessions-151,3611.5024943311,55.1080188751,44100,soundcloud,18,True,18,lucasandsteve
186fcpzk,https://www.mixcloud.com/AZ_Music/dimitri-vegas-like-mike-smash-the-house-258/,3497.389569161,104.3869247437,44100,mixcloud,18,True,18,dimitrivegasandlikemike
193qqmw1,https://www.mixcloud.com/dannyavilareadytojump/225-ready-to-jump/,3584.0928798186,107.7528524399,44100,mixcloud,17,True,17,dannyavila
db0cvpt,https://soundcloud.com/igniterecordings/firebeatz-presents-ignite-radio-096,3593.3518367347,54.8309936523,44100,soundcloud,16,True,16,firebeatz
9j21kbt,https://soundcloud.com/heartfeldt/sam-feldt-heartfeldt-radio-170,3606.6609297052,55.034277916,44100,soundcloud,19,True,19,samfeldt
pn2r81k,https://youtu.be/n_COx8rquMI,3602.2891666667,116.6264619827,48000,youtube,21,True,21,bingoplayers
t9k9v51,https://soundcloud.com/djandymoor/andy-moor-pres-moor-music-209,3520.7314285714,134.3063440323,44100,soundcloud,13,True,13,andymoor
2rrvq5t9,https://youtu.be/zONuszNe6PQ,3501.6569375,107.5161867142,48000,youtube,15,True,15,hardwell
lswx2c1,https://soundcloud.com/dim3nsionmusic/dim3nsion-selection-episode-177,3554.1681632653,54.2330980301,44100,soundcloud,12,True,12,dim3nsion
tbvpus9,https://www.mixcloud.com/madisonmars/house-of-mars-episode-4/,3602.2044444444,107.4699325562,44100,mixcloud,19,True,19,madisonmars
g401ubt,https://youtu.be/HDlo0MQIrpo,3422.9877291667,102.1682939529,48000,youtube,18,True,18,brohug
81hj2z9,https://youtu.be/4o4IPfrron8,3568.7161666667,109.483288765,48000,youtube,16,True,16,dimitrivegasandlikemike
2dkwc0g9,https://youtu.be/Ab1GtzHKn5A,3589.0916875,109.9755678177,48000,youtube,19,True,19,hardwell
1r44m111,https://soundcloud.com/lucasandsteve/lucas-steve-present-skyline-sessions-108,3601.0445351474,54.9485797882,44100,soundcloud,19,True,19,lucasandsteve
hz0fnsk,https://soundcloud.com/monstercat/cotw169,3613.9558276644,55.1454868317,44100,soundcloud,17,True,17,unknown
1szx3f4k,https://soundcloud.com/mikewilliamsontrack/mike-williams-on-track-114,3342.106122449,50.9972877502,44100,soundcloud,16,True,16,mikewilliams
253drb11,https://soundcloud.com/deeparturenl/deep-down-show-26,5441.9080045352,83.0381040573,44100,soundcloud,19,True,19,deeparture
1k8cx2k,https://youtu.be/rvGzmIQukFw,3351.67925,97.6007738113,48000,youtube,22,True,22,sandervandoorn
1wpsbqg9,https://www.mixcloud.com/MikeWilliamsOnTrack/mike-williams-on-track-049/,3561.1515646258,105.8018093109,44100,mixcloud,17,True,17,mikewilliams
7r5j041,https://soundcloud.com/ineedr3hab/r3hab-i-need-r3hab-168,3498.74,53.3876743317,44100,soundcloud,16,True,16,r3hab
2fj2rfj1,https://www.mixcloud.com/djMrWhite/whereismrwhite-7/,3605.8267573696,106.2589855194,44100,mixcloud,17,True,17,mr.white
2tjy22vt,https://youtu.be/T7CSq4E-NzY,3618.9757708333,114.0414247513,48000,youtube,18,True,18,oliverheldens
1txujb01,https://www.mixcloud.com/goingdeeper5/going-deeper-conversations-051/,3682.5919274376,108.2389831543,44100,mixcloud,23,True,23,goingdeeper
ccvbz6k,https://soundcloud.com/steveaoki/aokis-house-383,3576.7640816326,54.5778846741,44100,soundcloud,18,True,18,steveaoki
1r264559,https://soundcloud.com/mikewilliamsontrack/mike-williams-on-track-006,3604.0620408163,54.9944181442,44100,soundcloud,17,True,17,mikewilliams
15fl01ht,https://www.mixcloud.com/MartinGarrix/the-martin-garrix-show-214/,3600.1146485261,106.8612766266,44100,mixcloud,19,True,19,martingarrix
1s07dp39,https://soundcloud.com/1001tracklists/mrblack-1001tracklists-exclusive-mix,3505.4236734694,53.4893159866,44100,soundcloud,17,True,17,mr.black
1mfhtsxk,https://www.mixcloud.com/MartinGarrix/the-martin-garrix-show-255/,3600.1146485261,106.4607791901,44100,mixcloud,18,True,18,martingarrix
1ft0z191,https://www.mixcloud.com/DaddysGroove/genesis-207-daddys-groove-official-podcast/,3121.9229024943,92.7223844528,44100,mixcloud,13,True,13,daddysgroove
10t3bh21,https://www.mixcloud.com/goingdeeper5/going-deeper-conversations-048/,3634.5266213152,107.6117391586,44100,mixcloud,22,True,22,goingdeeper
2uhztxm1,https://www.mixcloud.com/SJ_RM/sexy-by-nature-radio-215-by-sunnery-james-ryan-marciano/,3591.2910657596,107.4770698547,44100,mixcloud,17,True,17,sunneryjamesandryanmarciano
229pdd41,https://youtu.be/UMYEL5o57Xs,3342.0081458333,104.1911287308,48000,youtube,20,True,20,unknown
2nxqtf29,https://youtu.be/NDULtplZrnU,3598.7743958333,107.0056886673,48000,youtube,14,True,14,noisezoo
ccrsd6t,https://www.mixcloud.com/solardomusic/solardo-presents-the-spot-070/,3568.674829932,106.78353405,44100,mixcloud,16,True,16,solardo
82v7xwt,https://soundcloud.com/avicii-le7els-39/avicii-le7els-39-2015-free,3497.56,53.3693389893,44100,soundcloud,15,True,15,avicii
1uv991f9,https://soundcloud.com/anjunabeats/anjunabeats-worldwide-607-with,6598.9224489796,100.6923618317,44100,soundcloud,22,True,22,unknown
j02zjgt,https://soundcloud.com/steveaoki/aokis-house-348,3595.0497959184,54.8569021225,44100,soundcloud,19,True,19,steveaoki
1wrbpyzt,https://www.mixcloud.com/SJ_RM/sexy-by-nature-radio-259-by-sunnery-james-ryan-marciano/,3600.2075283447,107.0290517807,44100,mixcloud,17,True,17,sunneryjamesandryanmarciano
260ykph1,https://soundcloud.com/mikewilliamsontrack/mike-williams-on-track-106,3638.8310204082,55.5249509811,44100,soundcloud,18,True,18,mikewilliams
26yrk9u9,https://www.mixcloud.com/AZ_Music/r3hab-i-need-r3hab-329/,3441.3830385487,98.4806976318,44100,mixcloud,18,True,18,r3hab
