mix_id,i_track,track_id,timestamp,artist,title,bpm,key,audio_sr,audio_source,audio_url,audio_length,audio_size,filename
jwmtj61,00,12t6wktp,0.0,Don Diablo,Don Diablo - Save A Little Love,122.4489795918,Eb major,44100,soundcloud,https://soundcloud.com/dondiablo/save-a-little-love,202.9303401361,3.097495079,jwmtj61_00_12t6wktp
jwmtj61,01,16juffhx,107.0,Dannic vs. Tom & Jame,Dannic vs. Tom & Jame - Ready,127.6595744681,G minor,48000,youtube,k,180.948,5.530880928,jwmtj61_01_16juffhx
jwmtj61,02,258n7bkf,172.0,Bassjackers vs. Breathe Carolina & APEK,Bassjackers vs. Breathe Carolina & APEK - The Fever,127.6595744681,C minor,48000,youtube,https://youtu.be/wmjgbzhI36M,213.606875,6.4441194534,jwmtj61_02_258n7bkf
jwmtj61,03,10y0bwb5,267.0,Quintino,Quintino - BAWAH TANAH,127.6595744681,G minor,44100,soundcloud,https://soundcloud.com/spinninrecords/quintino-bawah-tanah-out-now,210.8400680272,3.2182703018,jwmtj61_03_10y0bwb5
jwmtj61,04,g9krvgx,358.0,Bassjackers,Bassjackers - Wobble & Jiggle,100.0,D# minor,44100,soundcloud,https://soundcloud.com/spinninrecords/bassjackers-wobble-jiggle,184.6249886621,2.8180789948,jwmtj61_04_g9krvgx
jwmtj61,05,9p7yws5,437.0,Dropgun,Dropgun - Little Drop,68.9655172414,G minor,48000,youtube,https://youtu.be/fBTBc2OA9fw,177.4998333333,5.3017244339,jwmtj61_05_9p7yws5
jwmtj61,06,1qc2j195,521.0,SLANDER & YOOKiE,SLANDER & YOOKiE ft. Zach Sorgen - One Life,75.0,G minor,48000,youtube,https://youtu.be/ndHKKUapugY,201.3815625,5.9365053177,jwmtj61_06_1qc2j195
jwmtj61,07,1mlcb24f,617.0,Florian Picasso,Florian Picasso - Guns Down,127.6595744681,D minor,48000,youtube,https://youtu.be/VpNYnB6KPs8,198.7693125,6.1031312943,jwmtj61_07_1mlcb24f
jwmtj61,08,1b82c47p,707.0,Louder,Louder - The Move,125.0,A minor,48000,youtube,https://youtu.be/uWahcRBQSWg,164.4969791667,5.3755159378,jwmtj61_08_1b82c47p
jwmtj61,09,1zpfjwkx,774.0,Don Diablo,Don Diablo - Momentum,125.0,A minor,48000,youtube,https://youtu.be/5EgGXDDPkfY,169.0107916667,5.3349123001,jwmtj61_09_1zpfjwkx
jwmtj61,10,1s73nhd5,849.0,Zonderling,Zonderling ft. Mingue - Remedy,125.0,A minor,44100,soundcloud,https://soundcloud.com/spinnin-deep/zonderling-ft-mingue-remedy-out-now,178.229047619,2.7204227448,jwmtj61_10_1s73nhd5
jwmtj61,11,2rwj144f,925.0,KURA,KURA - Sedated,150.0,C major,44100,soundcloud,https://soundcloud.com/spinninrecords/kura-sedated,167.3229931973,2.5542078018,jwmtj61_11_2rwj144f
jwmtj61,12,1s76shlf,1003.0,AutoErotique x BROHUG,AutoErotique x BROHUG - Brains,125.0,D minor,48000,youtube,https://youtu.be/jQsdaiyHb4g,233.4489791667,7.7096986771,jwmtj61_12_1s76shlf
jwmtj61,13,2fnjbkm5,1104.0,Bougenvilla,Bougenvilla - Onik,127.6595744681,E minor,48000,youtube,https://youtu.be/2-VGjNyXRPI,168.1305833333,5.3437013626,jwmtj61_13_2fnjbkm5
jwmtj61,14,mwv1cnx,1238.0,Delayers & SLVR,Delayers & SLVR - Bass Code,127.6595744681,E minor,48000,youtube,https://youtu.be/dlNV-s9pgFA,155.1738541667,4.6620912552,jwmtj61_14_mwv1cnx
